Apprentice Wizard,63,0
Blood Ravens,4,0
Candlemas Monks,0,0
Cloud Spirit,8,0
Daperyll Vampire,22,0
Dead of Night Demon,2,0
East-West Dragon,0,0
Grandmaster Wizard,39,0
Grim Reaper,15,0
Gyre Hippogriffs,28,0
Haast Eagle,2,0
Headless Haunt,15,0
Highland Clansmen,4,0
Highland Falconer,17,0
Highland Princess,20,0
Hounds of Ondaros,12,0
Kite Archer,1,0
Lord of the Void,3,0
Men of Leng,5,0
Midnight Rogue,2,0
Moon Clan Werewolf,2,0
Nightmare,4,0
Nimbus Jinn,17,0
Palliburrie Bats,22,0
Peregrine Apparition,1,0
Phantasmal Shade,5,0
Phantom Steed,0,0
Phase Assassin,21,0
Plumed Pegasus,4,0
Puppet Master,0,0
Recurring Specter,0,0
Riddle Sphinx,1,0
Roaming Monster,2,0
Skirmishers of Mu,19,0
Sky Baron,0,0
Sling Pixies,5,0
Snow Leopard,1,0
Spectral Stalker,15,0
Spire Lich,4,0
Ultimate Horror,1,0
Vril Revenant,2,0
Wind Sylph,1,0
Witherwing Hero,4,0
Zephyranne Airship,2,0
Blink,93,0
Browse,11,0
Chain Lightning,9,0
Chaos Twister,11,0
Disenchant,31,0
Dream-Quest,2,0
Fade,11,0
Flanking Maneuver,2,0
Grapple Shot,98,0
Lightning Bolt,82,0
Mortality,0,0
Occult Ritual,0,0
Psionic Blast,0,0
Rain of Arrows,0,0
Raise Dead,5,0
Recall,0,0
Telekinesis,3,0
Teleport,14,0
Unlikely Alliance,2,0
Waypoint Portal,2,0
Whirling Blades,13,0
Windblast,1,0
Evil Presence,2,0
Summoning Sphere,25,0
Thunderstorm,23,0
Wall of Air,0,0
Albespine Pikemen,3,0
Alvalinne Dryads,3,0
Amazon Warriors,11,0
Atlas Wanderers,16,0
Autumn Unicorn,37,0
Belmotte Longbowmen,2,0
Bone Rabble,0,0
Bosk Troll,28,0
Cave Trolls,3,0
Conqueror Worm,10,0
Crown Prince,3,0
Dalcean Phalanx,25,0
Dwarven Digging Team,8,0
Frontier Settlers,15,0
Gneissgnath Gnomes,0,0
Grey Wolves,49,0
House Arn Bannerman,11,0
King of the Realm,4,0
Land Surveyor,38,0
Mage Slayer,0,0
Master Tracker,2,0
Midland Army,2,0
Miracle Workers,7,0
Monastery Gargoyle,0,0
Monster Hunter,0,0
Mordric Druids,0,0
Mountain Giant,2,0
Pudge Butcher,35,0
Queen of Midland,2,0
Root Spider,54,0
Royal Bodyguard,21,0
Scent Hounds,5,0
Scourge Zombies,0,0
Shield Maidens,12,0
Silver Valkyries,1,0
Sirian Templar,0,0
Sisters of Silence,0,0
Slumbering Giantess,15,0
Squirming Mass,2,0
Stone-gaze Gorgons,3,0
Tragedy Worrywart,5,0
Vanguard Knights,0,0
Wicked Witch,1,0
Wild Boars,2,0
Wraetannis Titan,18,0
Yourke Crossbowmen,3,0
Assorted Animals,2,0
Border Militia,9,0
Bury,60,0
Call to War,1,0
Cave-In,10,0
Common Sense,79,0
Craterize,17,0
Dispel,30,0
Divine Healing,25,0
Earthquake,45,0
Exorcism,0,0
Gigantism,12,0
Minecart Madness,0,0
Overpower,11,0
Shield Wall,0,0
Star-Seeds of Uhr,0,0
Unravel,0,0
Crusade,8,0
Entangle Terrain,2,0
Rest in Peace,0,0
Ancient Dragon,3,0
Aramos Mercenaries,0,0
Askelon Phoenix,4,0
Awakened Mummies,0,0
Azuridge Caravan,0,0
Bane Widow,10,0
Beast of Burden,0,0
Bull Demons of Adum,1,0
Cauldron Crones,7,0
Cerberus in Chains,5,0
Clamor of Harpies,7,0
Colicky Dragonettes,19,0
Courtesan Thais,6,0
Death Dealer,16,0
Doomsday Prophet,1,0
Escyllion Cyclops,1,0
Far East Assassin,0,0
Grosse Poltergeist,0,0
Hillock Basilisk,3,0
Infernal Legion,6,0
Karkemish Chimera,0,0
Lava Salamander,3,0
Maze Minotaur,0,0
Ogre Goons,3,0
Outback Strider,3,0
Panorama Manticore,16,0
Petrosian Cavalry,20,0
Pit Vipers,12,0
Quarrelsome Kobolds,27,0
Raal Dromedary,2,0
Rimland Nomads,2,0
Sacred Scarabs,44,0
Sand Worm,2,0
Scavenging Fiend,0,0
Seasoned Sellsword,0,0
Sirocco Scorpions,2,0
Swiven Scout,0,0
Tvinnax Berserker,0,0
Vile Imp,71,0
Wayfaring Pilgrim,5,0
Wills-o-the-Wisp,0,0
Backstab,0,0
Blaze,12,0
Boil,5,0
Cone of Flame,4,0
Critical Strike,7,0
Disintegrate,5,0
Fireball,9,0
Firebolts,62,0
Flame Wave,7,0
Heat Ray,18,0
Immolation,3,0
Incinerate,1,0
Infiltrate,24,0
Leap Attack,5,0
Mad Dash,7,0
Major Explosion,12,0
Meteor Shower,0,0
Minor Explosion,28,0
Pact with the Devil,8,0
Poison Nova,18,0
Scorched Earth,6,0
Spin Attack,1,0
Warp Spasm,1,0
Drought,4,0
Jihad,6,0
Sandstorm,3,0
Wall of Fire,4,0
Wildfire,13,0
Accursed Albatross,0,0
Adept Illusionist,4,0
Anui Undine,10,0
Bridge Troll,0,0
Brobdingnag Bullfrog,0,0
Captain Baldassare,2,0
Coral-Reef Kelpie,0,0
Court Jester,0,0
Deep-Sea Mermaids,8,0
Diluvian Kraken,4,0
Felbog Frog Men,0,0
Fenvale Muse,0,0
Fey Changeling,11,0
Ghost Ship,2,0
Giant Shark,14,0
Great Old One,5,0
Guile Sirens,3,0
Lord of Unland,3,0
Megamoeba,2,0
Mother Nature,0,0
Muck Lampreys,0,0
Old Salt Anchorman,0,0
Ormund Harpooneers,0,0
Pirate Ship,4,0
Polar Bears,0,0
Polar Explorers,2,0
Porcupine Pufferfish,0,0
Ruler of Thul,10,0
Sea Raider,0,0
Sea Serpent,0,0
Sedge Crabs,0,0
Seirawan Hydra,0,0
Selfsame Simulacrum,9,0
Sneak Thief,2,0
Swamp Buffalo,0,0
Swan Maidens,0,0
Tide Naiads,0,0
Tringh Constrictor,0,0
Tufted Turtles,21,0
Unland Angler,0,0
Unland Eel,3,0
Yokai Kappas,2,0
Dodge Roll,3,0
Drown,15,0
Extinguish,0,0
Fire Harpoons!,0,0
Font of Life,2,0
Frost Nova,0,0
Geyser,5,0
Ice Lance,2,0
